Condition,derivative_t0,Dataset,Mean,Std,v0_fmol,base_sample,mean_final,std_final,Cells/PA,std_PA,v0_cell,PI_status,Mean_fmol,Std_fmol,Mean_cell,Std_cell
100,24.06622724,PR_SECPI,21.28435774,2.51718827,60.1655681,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.008333822,PI,53.21089435,6.292970676,0.007370497,0.000872
100,19.16394486,PR_SECPI,21.28435774,2.51718827,47.90986214,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006636226,PI,53.21089435,6.292970676,,
100,20.62290112,PR_SECPI,21.28435774,2.51718827,51.55725281,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.007141443,PI,53.21089435,6.292970676,,
150,27.36515699,PR_SECPI,30.68477484,7.339357513,68.41289248,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.009476199,PI,76.7119371,18.34839378,0.01062574,0.002542
150,39.09745513,PR_SECPI,30.68477484,7.339357513,97.74363784,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.013538942,PI,76.7119371,18.34839378,,
150,25.5917124,PR_SECPI,30.68477484,7.339357513,63.979281,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.008862078,PI,76.7119371,18.34839378,,
25,15.54619022,NC_INTRA,16.03429676,0.859811188,38.86547556,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.006707369,noPI,40.0857419,2.149527969,0.006917961,0.000371
25,17.02707513,NC_INTRA,16.03429676,0.859811188,42.56768784,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.007346293,noPI,40.0857419,2.149527969,,
25,15.52962492,NC_INTRA,16.03429676,0.859811188,38.8240623,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.006700222,noPI,40.0857419,2.149527969,,
50,9.619272471,NC_INTRA,9.378797383,0.21542996,24.04818118,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.004150213,noPI,23.44699346,0.538574899,0.004046461,0.000093
50,9.203433924,NC_INTRA,9.378797383,0.21542996,23.00858481,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.003970801,noPI,23.44699346,0.538574899,,
50,9.313685754,NC_INTRA,9.378797383,0.21542996,23.28421439,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.004018369,noPI,23.44699346,0.538574899,,
100,19.56470772,NC_INTRA,19.67975592,0.82712599,48.9117693,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008441149,noPI,49.1993898,2.067814975,0.008490786,0.000357
100,20.55838314,NC_INTRA,19.67975592,0.82712599,51.39595786,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008869868,noPI,49.1993898,2.067814975,,
100,18.9161769,NC_INTRA,19.67975592,0.82712599,47.29044225,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.008161342,noPI,49.1993898,2.067814975,,
150,28.13112808,NC_INTRA,29.06956317,1.075866911,70.3278202,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.012137112,noPI,72.67390792,2.689667279,0.012541998,0.000464
150,28.83380248,NC_INTRA,29.06956317,1.075866911,72.08450621,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.012440279,noPI,72.67390792,2.689667279,,
150,30.24375894,NC_INTRA,29.06956317,1.075866911,75.60939735,NC,231.7777778,17.63939194,5794.444444,440.9847986,0.013048602,noPI,72.67390792,2.689667279,,
