Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1737	SPO1737				2.05E+06	2.03E+06	1.97E+06
SPO1738	SPO1738				200864	145015	206748
SPO1739	SPO1739				1.28E+07	1.24E+07	1.17E+07
SPO1740	SPO1740				133850	148868	133068
SPO1741	SPO1741				75184.9	111184	104696
SPO1742	SPO1742				1.10E+06	1.45E+06	1.52E+06
SPO1743	SPO1743				3.38E+07	3.43E+07	3.28E+07
SPO1744	SPO1744				4.74E+06	3.96E+06	3.96E+06
SPO1745	SPO1745				488290	448160	483524
SPO1746	SPO1746				2.03E+06	2.10E+06	2.13E+06
SPO1747	SPO1747				1.90E+06	2.17E+06	2.09E+06
SPO1748	SPO1748				612394	1.02E+06	1.02E+06
SPO1749	SPO1749				1.70E+06	1.69E+06	1.75E+06
SPO1750	SPO1750				9.31E+06	1.07E+07	1.02E+07
SPO1751	SPO1751				6.08E+06	3.96E+06	3.73E+06
SPO1752	SPO1752				592622	584732	531010
SPO1753	SPO1753				9.55E+06	9.69E+06	9.31E+06
SPO1754	SPO1754				3.34E+06	3.15E+06	3.13E+06
SPO1755	SPO1755				923462	800645	793585
SPO1756	SPO1756				1.21E+07	1.32E+07	1.33E+07
SPO1757	SPO1757				581348	703358	644066
SPO1759	SPO1759				2.77E+06	3.29E+06	3.21E+06
SPO1760	SPO1760				31004.9		31750.9
SPO1761	SPO1761				9.56E+06	9.84E+06	9.80E+06
SPO1762	SPO1762				4.80E+06	5.23E+06	5.39E+06
SPO1763	SPO1763				4.26E+06	5.29E+06	5.37E+06
SPO1764	SPO1764				1.26E+06	1.12E+06	1.12E+06
SPO1766	SPO1766				153711	201680	196458
SPO1767	SPO1767				3.14E+06	3.53E+06	3.36E+06
SPO1769	SPO1769				2.37E+06	2.91E+06	2.81E+06
SPO1770	SPO1770				1.48E+06	1.94E+06	1.86E+06
SPO1771	SPO1771				283556	399525	424419
SPO1772	SPO1772				1.18E+06	1.23E+06	1.02E+06
SPO1773	SPO1773				6.23E+06	7.18E+06	7.18E+06
SPO1774	SPO1774				492612	583554	454998
SPO1775	SPO1775				2.14E+06	2.44E+06	2.31E+06
SPO1776	SPO1776				1.72E+06	1.78E+06	1.83E+06
SPO1777	SPO1777				1.28E+06	1.10E+06	1.17E+06
SPO1778	SPO1778				64773.5	48419.1	47373.6
SPO1779	SPO1779				476519	657571	684748
