Accession Number	Annotation	1	2	3
SPO0297	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	3.55E+06	3.56E+06	3.57E+06
SPO0298	Acyl-CoA dehydrogenase family protein	5.67E+06	5.68E+06	5.56E+06
SPO0299	Metallo-beta-lactamase family protein	2.53E+06	2.55E+06	2.46E+06
SPO0300	Uncharacterized protein	5.45E+06	5.39E+06	5.08E+06
SPO0301	Glycerophosphoryl diester phosphodiesterase family protein	801381	780040	788078
SPO0302	Phospholipase A2	476837	397732	448921
SPO0303	"Cytochrome c oxidase, subunit IV domain protein"	82703.4	90201.3	86950.4
SPO0304	"Lipoprotein, putative"	9.36E+06	9.43E+06	9.43E+06
SPO0305	AzlC family protein	670981	582458	529664
SPO0306	Sulfur carrier protein FdhD	2.41E+06	2.36E+06	2.34E+06
SPO0307	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	1.67E+06	1.71E+06	1.61E+06
SPO0308	Molybdopterin-guanine dinucleotide biosynthesis protein B	2.67E+06	2.79E+06	2.62E+06
SPO0309	Molybdopterin guanine dinucleotide synthesis	721813	778479	776338
SPO0310	Molybdopterin molybdenumtransferase (EC 2.10.1.1)	1.51E+06	1.58E+06	1.42E+06
SPO0311	Uncharacterized protein	5.38E+06	5.67E+06	5.57E+06
SPO0312	Transcription elongation factor GreA (Transcript cleavage factor GreA)	5.38E+06	5.19E+06	4.63E+06
SPO0313	Glyoxalase family protein	1.30E+06	1.30E+06	1.24E+06
SPO0314	Redox-sensitive transcriptional activator SoxR	500130	465040	448539
SPO0315	EthD domain-containing protein	1.34E+06	1.28E+06	1.49E+06
SPO0316	Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)	1.73E+07	1.69E+07	1.75E+07
SPO0317	TPR domain protein	8.83E+06	8.88E+06	8.49E+06
