Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO2721	SPO2721				4.32E+06	4.36E+06	3.94E+06
SPO2722	SPO2722				124213	126357	259665
SPO2723	SPO2723				4.97E+06	4.95E+06	4.89E+06
SPO2723a	SPO2723a				5.99E+06	6.25E+06	6.25E+06
SPO2724	SPO2724				3.76E+06	3.69E+06	3.74E+06
SPO2733	SPO2733				3.78E+06	3.86E+06	3.82E+06
SPO2734	SPO2734				2.19E+06	2.21E+06	2.17E+06
SPO2735	SPO2735				2.02E+06	1.97E+06	2.00E+06
SPO2736	SPO2736				670941	634357	615742
SPO2738	SPO2738				2.80E+07	2.73E+07	2.91E+07
SPO2739	SPO2739				1.41E+07	1.43E+07	1.39E+07
SPO2740	SPO2740				8.73E+06	8.58E+06	8.66E+06
SPO2741	SPO2741				2.70E+06	2.70E+06	2.79E+06
SPO2742	SPO2742				5.15E+06	5.21E+06	5.02E+06
SPO2743	SPO2743				2.91E+06	3.01E+06	2.77E+06
SPO2744	SPO2744						
SPO2745	SPO2745				910702	920063	992231
SPO2746	SPO2746				5.56E+06	5.38E+06	5.42E+06
SPO2747	SPO2747				625436	641453	591202
SPO2748	SPO2748				490087	435331	490066
SPO2749	SPO2749				571686	558108	695248
SPO2750	SPO2750				403930	393428	430687
SPO2751	SPO2751				4.92E+06	5.09E+06	5.14E+06
SPO2752	SPO2752				198034	194398	181985
SPO2753	SPO2753				315224	275130	319997
SPO2754	SPO2754				1.32E+06	1.36E+06	1.40E+06
SPO2755	SPO2755				975216	1.06E+06	1.02E+06
SPO2756	SPO2756				115030	120447	118447
SPO2757	SPO2757				272710	349023	297908
SPO2758	SPO2758				2.40E+06	2.25E+06	2.28E+06
SPO2759	SPO2759				3.30E+06	3.37E+06	3.26E+06
SPO2760	SPO2760				6.51E+06	6.54E+06	6.28E+06
SPO2761	SPO2761				6.00E+06	5.62E+06	5.58E+06
SPO2762	SPO2762				4.46E+06	4.58E+06	4.52E+06
SPO2763	SPO2763				7.15E+06	7.53E+06	7.36E+06
SPO2764	SPO2764				9.72E+06	1.00E+07	1.06E+07
SPO2765	SPO2765				3.48E+06	3.50E+06	3.66E+06
SPO2766	SPO2766				1.26E+06	1.13E+06	1.34E+06
SPO2767	SPO2767				5.00E+06	5.20E+06	5.15E+06
SPO2768	SPO2768				1.32E+06	1.35E+06	1.27E+06
SPO2769	SPO2769				4.95E+06	5.00E+06	5.33E+06
SPO2770	SPO2770				1.53E+07	1.47E+07	1.49E+07
SPO2771	SPO2771				2.82E+06	2.42E+06	1.96E+06
SPO2772	SPO2772				6.77E+06	6.31E+06	6.68E+06
SPO2773	SPO2773				437436	435014	376138
SPO2774	SPO2774				1.76E+07	1.63E+07	1.71E+07
SPO2775	SPO2775				4.00E+06	3.90E+06	3.48E+06
SPO2776	SPO2776				8.57E+06	8.11E+06	8.60E+06
SPO2777	SPO2777				1.35E+07	1.33E+07	1.41E+07
SPO2778	SPO2778				579782	554902	601446
SPO2779	SPO2779				2.17E+06	2.12E+06	2.32E+06
SPO2780	SPO2780				1.66E+07	1.62E+07	1.65E+07
SPO2781	SPO2781				2.11E+07	1.86E+07	1.88E+07
SPO2782	SPO2782				1.79E+07	1.83E+07	1.80E+07
SPO2784	SPO2784				2.39E+07	2.27E+07	2.41E+07
SPO2785	SPO2785				7.04E+06	6.92E+06	7.20E+06
SPO2786	SPO2786				2.81E+06	2.88E+06	2.45E+06
SPO2787	SPO2787				9.49E+06	9.59E+06	9.75E+06
SPO2788	SPO2788				8.48E+06	8.15E+06	8.48E+06
SPO2789	SPO2789				9.20E+06	8.80E+06	9.22E+06
SPO2790	SPO2790				1.08E+07	1.06E+07	1.06E+07
SPO2791	SPO2791				2.31E+06	2.33E+06	2.28E+06
SPO2792	SPO2792				74136	77889.1	72222.5
SPO2793	SPO2793				2.46E+07	2.45E+07	2.54E+07
SPO2795	SPO2795				2.77E+06	2.68E+06	2.69E+06
SPO2796	SPO2796				1.65E+06	1.59E+06	1.52E+06
SPO2797	SPO2797				2.97E+07	3.01E+07	3.05E+07
SPO2798	SPO2798				3.06E+06	3.00E+06	3.05E+06
SPO2799	SPO2799				5.84E+06	5.70E+06	5.64E+06
SPO2800	SPO2800				2.38E+06	2.32E+06	2.23E+06
SPO2801	SPO2801				1.68E+06	1.69E+06	1.66E+06
SPO2802	SPO2802				3.21E+06	3.33E+06	3.05E+06
SPO2803	SPO2803				428662	436740	405610
SPO2804	SPO2804				331590	327121	307867
SPO2805	SPO2805						
SPO2806	SPO2806				1.26E+06	1.22E+06	1.20E+06
SPO2807	SPO2807				734110	748867	741551
SPO2808	SPO2808				1.81E+07	1.79E+07	1.82E+07
SPO2809	SPO2809				4.09E+06	4.08E+06	4.06E+06
SPO2810	SPO2810				4.83E+06	4.77E+06	4.77E+06
SPO2811	SPO2811				4.91E+06	5.04E+06	5.24E+06
SPO2812	SPO2812				3.46E+06	3.32E+06	3.40E+06
SPO2813	SPO2813				5.74E+06	5.73E+06	5.97E+06
SPO2814	SPO2814				5.04E+07	4.85E+07	4.98E+07
SPO2815	SPO2815				4.21E+06	4.41E+06	4.71E+06
SPO2816	SPO2816				3.29E+06	3.20E+06	3.69E+06
SPO2817	SPO2817				1.62E+06	1.65E+06	1.65E+06
SPO2818	SPO2818				1.03E+06	1.00E+06	983404
SPO2819	SPO2819				1.09E+07	1.08E+07	1.12E+07
SPO2820	SPO2820				2.25E+07	2.19E+07	2.38E+07
SPO2821	SPO2821				2.38E+06	2.02E+06	2.23E+06
SPO2822	SPO2822				113202	106209	99414
SPO2823	SPO2823				2.39E+06	2.29E+06	2.35E+06
SPO2824	SPO2824				9.49E+06	9.78E+06	9.56E+06
SPO2825	SPO2825				844339	866692	825452
SPO2826	SPO2826				380333	351473	271524
SPO2827	SPO2827				4.85E+06	4.92E+06	4.64E+06
SPO2828	SPO2828				64335.2	56546	61535.4
SPO2829	SPO2829				386448	398779	339521
SPO2835	SPO2835				240538	168308	197670
SPO2836	SPO2836				1.21E+06	1.30E+06	1.25E+06
SPO2837	SPO2837				5.55E+06	5.39E+06	5.80E+06
SPO2838	SPO2838				4.90E+06	4.32E+06	4.40E+06
SPO2839	SPO2839				1.30E+07	1.31E+07	1.30E+07
SPO2840	SPO2840				298013	259694	264517
SPO2841	SPO2841				6.78E+06	6.74E+06	6.56E+06
SPO2842	SPO2842				2.85E+06	2.83E+06	2.91E+06
SPO2843	SPO2843				932487	914658	896166
SPO2845	SPO2845				453352	431529	433409
SPO2846	SPO2846				469352	499385	464124
SPO2847	SPO2847				2.17E+07	2.17E+07	2.21E+07
SPO2848	SPO2848				1.23E+07	1.04E+07	1.06E+07
SPO2849	SPO2849				4.72E+06	4.46E+06	4.39E+06
SPO2850	SPO2850				7.34E+06	7.22E+06	7.17E+06
SPO2851	SPO2851				157493	117004	112609
SPO2853	SPO2853				2.26E+07	2.20E+07	2.29E+07
SPO2854	SPO2854				884085	895858	821143
SPO2855	SPO2855				1.03E+07	1.03E+07	1.04E+07
SPO2856	SPO2856				768562	806867	722344
SPO2857	SPO2857				8.02E+06	7.97E+06	8.07E+06
SPO2858	SPO2858				1.04E+07	1.10E+07	1.04E+07
SPO2859	SPO2859				444137	468093	458017
SPO2860	SPO2860				951962	980240	982040
SPO2861	SPO2861				1.86E+06	1.82E+06	1.89E+06
SPO2862	SPO2862				1.61E+07	1.64E+07	1.73E+07
SPO2863	SPO2863				1.14E+06	1.13E+06	1.15E+06
SPO2864	SPO2864				1.43E+06	1.33E+06	1.38E+06
SPO2865	SPO2865				6.90E+06	6.33E+06	6.76E+06
SPO2866	SPO2866				2.64E+06	2.46E+06	2.87E+06
SPO2867	SPO2867				1.91E+06	1.62E+06	1.73E+06
SPO2868	SPO2868				1.83E+06	1.87E+06	1.90E+06
SPO2869	SPO2869				1.08E+06	1.04E+06	1.01E+06
SPO2870	SPO2870				265748	272798	217175
SPO2871	SPO2871				1.52E+06	1.43E+06	1.46E+06
SPO2872	SPO2872				2.65E+06	2.60E+06	2.63E+06
SPO2873	SPO2873				1.32E+06	1.28E+06	1.31E+06
SPO2874	SPO2874				1.73E+06	1.70E+06	1.75E+06
SPO2875	SPO2875				650152	644998	592809
SPO2877	SPO2877				4.72E+06	4.53E+06	5.22E+06
SPO2878	SPO2878				695312	681425	572694
SPO2879	SPO2879				878073	912060	861950
SPO2880	SPO2880					17591.9	54387.3
SPO2881	SPO2881				122104	79019.9	165702
SPO2882	SPO2882				279244	336276	317776
SPO2883	SPO2883				579021	557097	555796
SPO2884	SPO2884				400897	345919	362598
SPO2885	SPO2885				1.75E+06	1.64E+06	1.66E+06
SPO2886	SPO2886				2.65E+06	2.79E+06	2.84E+06
SPO2887	SPO2887				7.63E+06	7.37E+06	7.81E+06
SPO2888	SPO2888				1.13E+06	1.13E+06	1.20E+06
SPO2889	SPO2889				9.50E+06	9.36E+06	9.54E+06
SPO2890	SPO2890				195682	174728	219356
SPO2891	SPO2891				302789	359191	343253
SPO2892	SPO2892				465316	474823	498140
SPO2893	SPO2893				1.22E+06	1.28E+06	1.27E+06
SPO2894	SPO2894				1.48E+06	1.29E+06	1.45E+06
SPO2895	SPO2895				3.01E+06	3.07E+06	3.23E+06
SPO2896	SPO2896				1.13E+06	1.03E+06	912823
SPO2897	SPO2897				428462	416655	394552
SPO2898	SPO2898				1.26E+06	1.30E+06	1.06E+06
SPO2899	SPO2899				1.62E+06	1.66E+06	1.56E+06
SPO2900	SPO2900				1.62E+06	1.64E+06	1.65E+06
SPO2901	SPO2901				817622	816057	789584
SPO2902	SPO2902				577939	512055	584451
SPO2903	SPO2903				1.28E+06	1.26E+06	1.20E+06
SPO2904	SPO2904				1.04E+07	1.05E+07	9.95E+06
SPO2905	SPO2905				1.09E+06	1.09E+06	1.17E+06
SPO2906	SPO2906				6.69E+06	6.80E+06	6.62E+06
SPO2907	SPO2907				7.80E+06	7.91E+06	7.88E+06
SPO2908	SPO2908				1.83E+06	1.81E+06	1.76E+06
SPO2909	SPO2909				411169	419141	466253
SPO2910	SPO2910				2.36E+06	2.29E+06	2.31E+06
SPO2911	SPO2911				7.17E+06	7.37E+06	7.02E+06
SPO2912	SPO2912				2.35E+06	1.89E+06	1.92E+06
SPO2914	SPO2914				3.99E+06	3.91E+06	3.89E+06
SPO2915	SPO2915				9.06E+06	8.83E+06	8.80E+06
SPO2916	SPO2916				374649	388227	370384
SPO2917	SPO2917				2.35E+06	2.19E+06	2.28E+06
SPO2918	SPO2918				7.26E+06	7.15E+06	7.23E+06
SPO2919	SPO2919				1.29E+06	1.39E+06	1.28E+06
SPO2920	SPO2920				1.04E+07	1.03E+07	1.03E+07
SPO2922	SPO2922				510043	534192	548836
SPO2924	SPO2924				4.47E+06	4.11E+06	4.33E+06
SPO2925	SPO2925				5.75E+06	5.95E+06	5.48E+06
SPO2926	SPO2926				1.08E+07	1.07E+07	1.06E+07
SPO2927	SPO2927				1.09E+06	1.02E+06	1.05E+06
SPO2928	SPO2928				1.29E+06	1.19E+06	1.31E+06
SPO2929	SPO2929				2.90E+06	2.95E+06	2.90E+06
SPO2930	SPO2930				961452	861978	998196
SPO2931	SPO2931				1.23E+06	1.26E+06	1.24E+06
SPO2932	SPO2932				6.79E+06	6.64E+06	6.66E+06
SPO2933	SPO2933				439697	375074	356550
SPO2934	SPO2934				3.57E+06	3.38E+06	3.53E+06
SPO2936	SPO2936				125026		
SPO2938	SPO2938				3.29E+06	3.21E+06	3.22E+06
SPO2939	SPO2939				3.93E+06	3.88E+06	3.90E+06
SPO2942	SPO2942				1.16E+06	1.12E+06	1.18E+06
SPO2943	SPO2943				3.20E+06	3.21E+06	3.34E+06
SPO2945	SPO2945				6.27E+06	5.55E+06	5.76E+06
SPO2946	SPO2946				19943.9	24916.9	25264.7
SPO2947	SPO2947				255040	257607	245925
SPO2948	SPO2948						106468
SPO2949	SPO2949				1.20E+07	1.13E+07	1.02E+07
SPO2950	SPO2950				574861	530327	521126
SPO2951	SPO2951				5.59E+06	6.10E+06	5.68E+06
SPO2952	SPO2952				625797	618481	647830
SPO2953	SPO2953				3.99E+06	3.81E+06	4.05E+06
SPO2954	SPO2954				1.91E+06	1.90E+06	1.89E+06
SPO2955	SPO2955				2.62E+06	2.37E+06	2.46E+06
SPO2956	SPO2956				1.06E+06	979890	1.08E+06
SPO2957	SPO2957				759228	722807	686533
SPO2958	SPO2958				4.53E+06	4.29E+06	4.28E+06
SPO2959	SPO2959				709363	704463	640577
SPO2960	SPO2960				5.33E+06	5.24E+06	5.07E+06
SPO2961	SPO2961				1.41E+06	1.36E+06	1.39E+06
SPO2962	SPO2962				499964	571431	508381
SPO2963	SPO2963				1.29E+07	1.43E+07	1.48E+07
SPO2964	SPO2964				5.30E+06	5.43E+06	5.21E+06
SPO2965	SPO2965				1.14E+08	8.69E+07	1.06E+08
SPO2967	SPO2967				746508	730894	755989
SPO2968	SPO2968				1.94E+07	1.94E+07	1.85E+07
SPO2969	SPO2969				2.28E+07	2.26E+07	2.17E+07
SPO2970	SPO2970				5.26E+06	5.30E+06	5.55E+06
SPO2971	SPO2971				147017	152756	145548
SPO2972	SPO2972				232719	199270	296360
SPO2973a	SPO2973a				1.73E+07	1.71E+07	1.76E+07
SPO2974	SPO2974				617257	614878	611998
SPO2976	SPO2976				2.50E+06	2.36E+06	2.50E+06
SPO2977	SPO2977				323147	289818	294418
SPO2978	SPO2978				366202	347834	315009
SPO2979	SPO2979				287229	275401	251258
SPO2980	SPO2980				1.36E+06	1.55E+06	1.43E+06
SPO2981	SPO2981				204412	211975	186561
SPO2982	SPO2982				2.06E+06	1.94E+06	1.95E+06
SPO2983	SPO2983				647269	632371	568572
SPO2984	SPO2984				3.24E+06	3.20E+06	3.03E+06
SPO2985	SPO2985				4.04E+06	4.00E+06	4.14E+06
SPO2986	SPO2986				1.98E+07	1.97E+07	2.01E+07
SPO2987	SPO2987				2.30E+06	2.46E+06	2.31E+06
SPO2988	SPO2988				1.07E+07	1.04E+07	1.09E+07
SPO2989	SPO2989				650394	673983	446996
SPO2990	SPO2990				2.71E+06	2.76E+06	2.73E+06
SPO2991	SPO2991				1.16E+06	1.16E+06	1.15E+06
SPO2992	SPO2992				445370	431793	482288
SPO2993	SPO2993				1.43E+06	1.46E+06	1.30E+06
SPO2994	SPO2994				199175	184608	192608
SPO2995	SPO2995				2.76E+07	2.66E+07	2.86E+07
SPO2996	SPO2996				1.89E+06	1.81E+06	1.80E+06
SPO2997	SPO2997				1.35E+06	1.35E+06	1.53E+06
SPO2998	SPO2998				4.19E+06	4.23E+06	4.26E+06
SPO2999	SPO2999				116249	87419.9	115764
SPO3000	SPO3000				6.15E+06	5.59E+06	5.94E+06
SPO3001	SPO3001				1.12E+06	967877	1.02E+06
SPO3002	SPO3002				1.52E+06	1.61E+06	1.38E+06
SPO3003	SPO3003				3.56E+06	3.56E+06	3.50E+06
SPO3004	SPO3004				1.09E+07	9.82E+06	1.04E+07
SPO3005	SPO3005				4.62E+06	4.63E+06	4.56E+06
SPO3008	SPO3008				165845	164939	179704
SPO3009	SPO3009				556554	572592	568545
SPO3010	SPO3010				2.10E+06	2.07E+06	2.08E+06
SPO3011	SPO3011				372691	285326	288052
SPO3012	SPO3012				1.63E+07	1.62E+07	1.63E+07
SPO3013	SPO3013				5.13E+06	4.97E+06	5.01E+06
SPO3014	SPO3014				661468	583331	519049
SPO3015	SPO3015				2.18E+06	2.18E+06	2.15E+06
SPO3016	SPO3016				1.04E+06	1.02E+06	960332
SPO3017	SPO3017				1.53E+06	1.47E+06	1.41E+06
SPO3018	SPO3018				543022	474810	529938
SPO3019	SPO3019				3.02E+06	2.91E+06	2.98E+06
SPO3020	SPO3020				315782	331369	316391
SPO3021	SPO3021				127880	169771	101986
SPO3022	SPO3022				1.02E+07	9.82E+06	1.02E+07
SPO3023	SPO3023				166511	150891	119357
SPO3024	SPO3024				629618	665968	583074
SPO3025	SPO3025				5.67E+06	5.68E+06	5.48E+06
SPO3026	SPO3026				3.46E+06	3.53E+06	3.45E+06
SPO3027	SPO3027				3.27E+06	3.32E+06	3.37E+06
SPO3029	SPO3029				3.93E+06	3.75E+06	3.88E+06
SPO3030	SPO3030				2.13E+06	2.07E+06	2.05E+06
SPO3031	SPO3031				8.01E+06	7.80E+06	7.52E+06
SPO3032	SPO3032				1.13E+07	1.16E+07	1.16E+07
SPO3033	SPO3033				1.42E+07	1.39E+07	1.38E+07
SPO3034	SPO3034				5.07E+06	5.05E+06	5.04E+06
SPO3035	SPO3035				1.17E+07	1.18E+07	1.09E+07
SPO3036	SPO3036				5.10E+06	4.90E+06	5.02E+06
SPO3037	SPO3037				1.49E+06	1.51E+06	1.52E+06
SPO3038	SPO3038				414925	418921	424233
SPO3039	SPO3039				538365	527224	464702
SPO3040	SPO3040				16988.3	24987.9	18230.3
SPO3041	SPO3041						
SPO3042	SPO3042						
SPO3043	SPO3043				543582	436746	498977
SPO3044	SPO3044				175463	154650	143812
SPO3045	SPO3045				4.23E+06	3.87E+06	4.10E+06
SPO3049	SPO3049				98840.3	97143.4	108957
SPO3051	SPO3051				6.16E+06	6.38E+06	6.30E+06
SPO3052	SPO3052				643274	577269	661452
SPO3053	SPO3053				99111.3	80210.1	92988.8
SPO3054	SPO3054				1.92E+06	1.89E+06	1.81E+06
SPO3055	SPO3055				1.60E+06	1.60E+06	1.54E+06
SPO3056	SPO3056				1.52E+07	1.55E+07	1.48E+07
SPO3057	SPO3057				2.22E+06	2.07E+06	2.20E+06
SPO3058	SPO3058				6.10E+06	5.83E+06	6.23E+06
SPO3059	SPO3059				35573.9	30813.3	36350.4
SPO3060	SPO3060				5.48E+06	5.42E+06	5.47E+06
SPO3063	SPO3063				98888	111775	78554.8
SPO3064	SPO3064				2.26E+06	2.16E+06	2.05E+06
SPO3065	SPO3065				1.47E+06		
SPO3066	SPO3066				3.28E+06	3.06E+06	3.19E+06
SPO3067	SPO3067				1.17E+06	1.18E+06	1.08E+06
SPO3068	SPO3068				850908	1.02E+06	867832
SPO3069	SPO3069				2.14E+06	2.13E+06	2.19E+06
SPO3070	SPO3070				6.46E+06	6.28E+06	6.54E+06
SPO3071	SPO3071				1.41E+07	1.42E+07	1.45E+07
SPO3072	SPO3072				4.70E+06	4.70E+06	4.63E+06
SPO3073	SPO3073				2.51E+06	2.25E+06	2.31E+06
SPO3074	SPO3074				1.89E+06	1.98E+06	1.96E+06
SPO3075	SPO3075				292415	305708	327635
SPO3076	SPO3076				1.03E+07	9.46E+06	9.64E+06
SPO3077	SPO3077				5.10E+06	5.21E+06	5.04E+06
SPO3078	SPO3078				239715	36028.2	
SPO3079	SPO3079				1.19E+07	1.19E+07	1.22E+07
SPO3080	SPO3080				1.35E+06	1.31E+06	1.33E+06
SPO3081	SPO3081				725620	750910	811025
SPO3082	SPO3082				2.62E+07	2.67E+07	2.71E+07
SPO3083	SPO3083				1.88E+07	1.80E+07	1.76E+07
SPO3084	SPO3084				115764	60642.5	
SPO3086	SPO3086				1.38E+06	1.38E+06	1.34E+06
SPO3087	SPO3087				6.34E+06	6.64E+06	6.27E+06
SPO3088	SPO3088				7.36E+06	7.45E+06	7.36E+06
SPO3089	SPO3089				1.58E+06	1.62E+06	1.67E+06
SPO3090	SPO3090				853106	908818	878656
SPO3091	SPO3091				1.32E+06	1.29E+06	1.27E+06
SPO3092	SPO3092				751817	753985	767482
SPO3093	SPO3093				2.08E+06	2.11E+06	2.06E+06
SPO3094	SPO3094				1.09E+07	1.11E+07	1.13E+07
SPO3096	SPO3096				2.67E+06	2.70E+06	2.68E+06
SPO3097	SPO3097				679489	735590	742730
SPO3098	SPO3098				608179	646840	628250
SPO3099	SPO3099				472208	452055	401689
SPO3100	SPO3100				959895	972009	900457
SPO3104	SPO3104				4.98E+06	4.96E+06	4.94E+06
SPO3105	SPO3105				2.46E+07	2.41E+07	2.50E+07
SPO3106	SPO3106				933307	894887	924454
SPO3107	SPO3107				1.27E+07	1.28E+07	1.22E+07
SPO3108	SPO3108				1.86E+07	1.94E+07	1.83E+07
SPO3109	SPO3109				1.76E+07	1.83E+07	1.83E+07
SPO3110	SPO3110				3.51E+06	3.69E+06	3.42E+06
SPO3111	SPO3111				6.05E+06	5.92E+06	5.56E+06
SPO3112	SPO3112				1.21E+07	1.26E+07	1.33E+07
SPO3113	SPO3113				1.67E+06	1.61E+06	1.59E+06
SPO3114	SPO3114				3.39E+06	3.18E+06	3.48E+06
SPO3115	SPO3115				3.29E+06	3.21E+06	3.14E+06
SPO3116	SPO3116				2.67E+06	2.65E+06	2.53E+06
SPO3117	SPO3117				2.22E+06	2.08E+06	2.04E+06
SPO3118	SPO3118				86659.1	69808.3	81399.2
SPO3119	SPO3119				231222	331751	261942
SPO3120	SPO3120				3.19E+06	3.24E+06	2.89E+06
SPO3121	SPO3121				215529	212096	228049
SPO3122	SPO3122				58322.2	47339.1	65544.3
SPO3123	SPO3123				11525.7	15816	
SPO3124	SPO3124				295929	339993	309077
SPO3125	SPO3125				43624.9	30460.7	49962.3
SPO3126	SPO3126				403167	420754	398840
SPO3127	SPO3127				1.48E+06	1.40E+06	1.39E+06
SPO3128	SPO3128				2.63E+07	2.73E+07	2.55E+07
SPO3129	SPO3129				3.71E+06	3.86E+06	3.54E+06
SPO3130	SPO3130				1.19E+06	1.19E+06	1.15E+06
SPO3132	SPO3132				144114	69804.4	126809
SPO3133	SPO3133				2.51E+06	2.54E+06	2.41E+06
SPO3134	SPO3134				1.02E+06	1.03E+06	1.05E+06
SPO3135	SPO3135				881733	998294	890864
SPO3136	SPO3136				1.06E+07	1.05E+07	1.06E+07
SPO3137	SPO3137				1.75E+07	1.73E+07	1.69E+07
SPO3138	SPO3138				402178	416326	349175
SPO3139	SPO3139				590256	456967	430893
SPO3140	SPO3140				1.61E+06	1.68E+06	1.64E+06
SPO3141	SPO3141				74830.9	94922.6	91488.2
SPO3142	SPO3142				2.07E+06	1.99E+06	2.04E+06
SPO3143	SPO3143				2.02E+06	1.98E+06	1.96E+06
SPO3144	SPO3144				624443	651455	652650
SPO3145	SPO3145				2.01E+06	2.03E+06	2.05E+06
SPO3146	SPO3146				1.02E+06	975885	931917
SPO3147	SPO3147				4.03E+07	4.19E+07	3.87E+07
SPO3148	SPO3148				304871	266841	280228
SPO3149	SPO3149				307396	341062	273252
SPO3150	SPO3150				318304	291451	294864
SPO3151	SPO3151				4.71E+06	4.57E+06	4.55E+06
SPO3152	SPO3152				3.27E+06	3.05E+06	3.09E+06
SPO3153	SPO3153				100788	134346	113593
SPO3154	SPO3154				4.73E+06	4.73E+06	4.71E+06
SPO3155	SPO3155				452076	425630	360754
SPO3156	SPO3156				8.86E+06	8.59E+06	8.88E+06
SPO3157	SPO3157				6.94E+06	6.66E+06	6.77E+06
SPO3158	SPO3158				7.29E+06	6.75E+06	6.71E+06
SPO3159	SPO3159				1.30E+07	1.27E+07	1.28E+07
SPO3160	SPO3160				663828	695267	729237
SPO3161	SPO3161				4.17E+07	4.09E+07	3.93E+07
SPO3162	SPO3162				1.21E+08	1.24E+08	1.20E+08
SPO3163	SPO3163				3.39E+07	3.35E+07	3.43E+07
SPO3164	SPO3164				1.63E+08	1.66E+08	1.65E+08
SPO3165	SPO3165				2.99E+07	2.90E+07	3.05E+07
SPO3166	SPO3166				3.95E+06	4.12E+06	3.95E+06
SPO3167	SPO3167				740107	683051	707909
SPO3168	SPO3168				5.23E+06	5.27E+06	5.15E+06
SPO3169	SPO3169				1.13E+07	1.15E+07	1.12E+07
SPO3170	SPO3170				431300	419367	455934
SPO3171	SPO3171				2.46E+06	2.44E+06	2.26E+06
SPO3172	SPO3172				4.09E+06	3.86E+06	3.93E+06
SPO3173	SPO3173				2.81E+06	2.67E+06	2.72E+06
SPO3174	SPO3174				2.68E+06	2.73E+06	2.74E+06
SPO3175	SPO3175				1.64E+06	1.73E+06	1.62E+06
SPO3176	SPO3176				3.61E+06	3.78E+06	3.67E+06
SPO3177	SPO3177				7.16E+06	7.26E+06	7.09E+06
SPO3178	SPO3178				91649	105726	87711.6
SPO3179	SPO3179				543473	530677	466908
SPO3180	SPO3180				5.07E+06	5.01E+06	4.95E+06
SPO3181	SPO3181				1.04E+08	1.04E+08	1.03E+08
SPO3182	SPO3182				549199	540194	514860
SPO3183	SPO3183				1.53E+06	1.45E+06	1.42E+06
SPO3184	SPO3184				198922	217437	227179
SPO3185	SPO3185				595653	623106	611369
SPO3186	SPO3186				150110	167512	187470
SPO3187	SPO3187				1.25E+06	1.18E+06	1.18E+06
SPO3188	SPO3188				410496	431677	417018
SPO3189	SPO3189				341171	322606	346703
SPO3190	SPO3190				327616	324645	374098
SPO3191	SPO3191				824869	801588	812232
SPO3192	SPO3192				781466	752487	749516
SPO3193	SPO3193				4.34E+06	4.39E+06	4.32E+06
SPO3194	SPO3194				1.72E+07	1.68E+07	1.76E+07
SPO3195	SPO3195				2.04E+06	1.97E+06	1.94E+06
SPO3196	SPO3196				520860	507334	550302
SPO3197	SPO3197				348556	279857	254068
SPO3198	SPO3198				6.17E+06	6.49E+06	6.55E+06
SPO3199	SPO3199				1.28E+07	1.22E+07	1.23E+07
SPO3200	SPO3200				2.99E+06	3.11E+06	3.09E+06
SPO3201	SPO3201				1.40E+07	1.39E+07	1.44E+07
SPO3202	SPO3202				190487	157587	197613
SPO3203	SPO3203				3.89E+06	3.79E+06	3.87E+06
SPO3204	SPO3204				9.04E+06	7.93E+06	7.83E+06
SPO3205	SPO3205				1.15E+06	1.11E+06	1.11E+06
SPO3206	SPO3206				2.07E+07	2.05E+07	2.13E+07
SPO3207	SPO3207				7.11E+06	7.27E+06	7.13E+06
SPO3208	SPO3208				719569	738948	733666
SPO3209	SPO3209						
SPO3211	SPO3211				1.17E+06	1.15E+06	1.12E+06
SPO3212	SPO3212				3.05E+06	3.05E+06	3.12E+06
SPO3213	SPO3213				97360.1	76892.5	78588.4
SPO3216	SPO3216				3.91E+06	3.96E+06	3.85E+06
SPO3217	SPO3217				3.68E+06	3.46E+06	3.64E+06
SPO3218	SPO3218				2.58E+06	2.58E+06	2.56E+06
SPO3219	SPO3219				3.29E+06	2.99E+06	3.02E+06
SPO3220	SPO3220				2.44E+07	2.39E+07	2.44E+07
SPO3221	SPO3221				818209	862910	845733
SPO3222	SPO3222				1.59E+06	1.56E+06	1.51E+06
SPO3223	SPO3223				162980	149730	89887.3
SPO3224	SPO3224				1.71E+06	1.83E+06	1.66E+06
SPO3225	SPO3225				1.04E+06	1.06E+06	1.03E+06
SPO3226	SPO3226				7.08E+06	7.03E+06	6.85E+06
SPO3227	SPO3227						386798
SPO3228	SPO3228				2.46E+06	2.52E+06	2.51E+06
SPO3229	SPO3229				174430	188245	152708
SPO3230	SPO3230				3.25E+06	3.17E+06	3.24E+06
SPO3231	SPO3231				2.56E+06	2.57E+06	2.47E+06
SPO3232	SPO3232				939400	865533	866302
SPO3233	SPO3233				1.30E+07	1.31E+07	1.21E+07
SPO3234	SPO3234				2.56E+07	2.35E+07	2.44E+07
SPO3236	SPO3236				2.35E+06	1.91E+06	1.84E+06
SPO3237	SPO3237				846202	863644	863891
SPO3238	SPO3238				391048	373930	321528
SPO3240	SPO3240				4.15E+06	4.06E+06	4.19E+06
SPO3241	SPO3241				546694	536115	519746
SPO3242	SPO3242				3.80E+06	3.66E+06	3.78E+06
SPO3243	SPO3243				3.97E+06	4.15E+06	4.00E+06
SPO3244	SPO3244				2.79E+06	2.80E+06	2.76E+06
SPO3245	SPO3245				7.72E+06	7.77E+06	7.33E+06
