Accession Number	Annotation	1	2	3
SPO3390	Glyoxalase-related protein domain-containing protein	1.18E+06	1.05E+06	1.11E+06
SPO3391	"Alpha-1,2-fucosyltransferase, putative"	1.44E+06	1.37E+06	1.40E+06
SPO3392	Pseudouridine synthase (EC 5.4.99.-)	1.22E+06	1.16E+06	1.12E+06
SPO3393	SnoaL-like domain-containing protein	2.19E+06	1.97E+06	2.11E+06
SPO3394	"GDSL-like lipase/acylhydrolase, putative"	333444	309194	245516
SPO3395	RarD	129783	118703	115315
SPO3396	FAD dependent oxidoreductase/aminomethyl transferase	1.21E+06	1.05E+06	1.07E+06
SPO3398	Homocysteine S-methyltransferase family protein	255377	254119	264837
SPO3399	"Alcohol dehydrogenase, zinc-containing (EC 1.1.1.1)"	184632	218229	194561
SPO3400	Aminomethyl transferase family protein	1.54E+06	1.49E+06	1.56E+06
SPO3401	CENP-V/GFA domain-containing protein	105285	118797	127602
SPO3403	"DNA-binding protein, putative"	208816	221377	213516
SPO3405	GAF domain-containing protein	2.31E+06	2.32E+06	2.24E+06
SPO3406	"Transcriptional regulator, TetR family"	1.03E+06	1.02E+06	1.12E+06
SPO3408	Acetyl-CoA C-acetyltransferase	1.12E+07	1.16E+07	1.10E+07
SPO3409	Anti-sigma factor antagonist	114810	115157	106615
SPO3410	non-specific serine/threonine protein kinase (EC 2.7.11.1)	113664	73497.8	189640
SPO3411	"Gamma-glutamyltranspeptidase, putative"	2.87E+06	2.87E+06	2.97E+06
SPO3412	Hemimethylated DNA-binding domain-containing protein	2.11E+06	2.19E+06	2.25E+06
SPO3413	Auxin efflux carrier family protein	853432	1.84E+06
SPO3414	"Lipoprotein, putative"	5.11E+06	5.15E+06	4.59E+06
SPO3415	"Outer membrane lipoprotein carrier protein LolA, putative"	6.30E+06	6.48E+06	6.54E+06
SPO3416	DNA translocase FtsK	4.87E+06	4.93E+06	4.99E+06
SPO3417	"Aminotransferase, classes I and II"	6.93E+06	7.22E+06	7.38E+06
SPO3418	Amidase family protein	2.66E+06	2.65E+06	2.69E+06
SPO3419	"Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family"	3.87E+06	3.62E+06	3.54E+06
SPO3420	Sulphotransferase Stf0 domain-containing protein	1.07E+06	1.04E+06	1.02E+06
SPO3421	UPF0434 protein SPO3421	310950	306688	268374
SPO3422	ATP-dependent protease La domain protein	1.74E+06	1.81E+06	1.81E+06
SPO3423	Thioredoxin	1.10E+07	1.18E+07	1.24E+07
SPO3424	Leucine rich repeat protein	500111	491194	516455
SPO3425	"Exodeoxyribonuclease III, putative"	6.89E+06	6.49E+06	6.54E+06
SPO3426	DNA-binding response regulator	4.69E+06	4.46E+06	4.37E+06
SPO3427	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	2.03E+06	2.09E+06	2.20E+06
SPO3428	"L,D-TPase catalytic domain-containing protein"	978204	1.06E+06	950823
SPO3429	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	3.98E+06	3.72E+06	3.71E+06
SPO3430	Outer membrane porin	5.42E+08	5.96E+08	6.37E+08
SPO3431	Lipoprotein	2.57E+07	2.56E+07	2.64E+07
SPO3432	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	1.17E+07	1.11E+07	1.16E+07
SPO3433	"Lipoprotein, putative"	4.19E+06	4.01E+06	4.39E+06
SPO3434	"DNA polymerase III, delta subunit"	2.91E+06	2.93E+06	2.99E+06
SPO3435	Glutathione S-transferase family protein	9.13E+06	9.33E+06	9.93E+06
SPO3436	NAD(FAD)-utilizing dehydrogenase	932137	913982	920385
SPO3437	Mechanosensitive ion channel family protein	3.15E+06	2.99E+06	3.24E+06
SPO3438	HNH endonuclease	572508	564283	543744
SPO3439	Enoyl-CoA hydratase/isomerase family protein	2.46E+06	2.36E+06	2.50E+06
SPO3440	"20-beta-hydroxysteroid dehydrogenase, putative"	4.57E+06	4.86E+06	4.66E+06
SPO3441	DUF2125 domain-containing protein	8.42E+06	8.57E+06	9.18E+06
SPO3442	PmbA	5.38E+06	5.76E+06	5.99E+06
SPO3443	Inositol monophosphatase family protein	1.30E+06	1.20E+06	1.23E+06
SPO3444	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	834107	795721	778165
SPO3445	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	1.41E+06	1.35E+06	1.30E+06
SPO3446	"Thiol:disulfide interchange protein, DsbA family"	1.51E+07	1.49E+07	1.63E+07
SPO3447	RNA-binding protein	1.41E+06	1.47E+06	1.53E+06
SPO3448	Adenine DNA glycosylase (EC 3.2.2.31)	589577	494491	505274
SPO3449	Fatty acid desaturase family protein	1.44E+06	1.07E+06	970572
SPO3450	Adenylate/guanylate cyclase	1.34E+06	1.33E+06	1.33E+06
SPO3451	Methyltransferase (EC 2.1.1.-)	2.25E+06	2.32E+06	2.33E+06
SPO3452	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	1.15E+06	1.17E+06	1.18E+06
SPO3452a	Unknown	4.24E+06	4.16E+06	3.35E+06
SPO3453	Lipoprotein	743312	812595	696509
SPO3454	OmpR/PhoB-type domain-containing protein	1.93E+06	1.96E+06	1.88E+06
SPO3455	Adenylate/guanylate cyclase	891547	784661	879167
SPO3456	"Flagellar protein, putative"	20496.8	27889.5
SPO3458	"Flagellar protein FlaF, putative"	31918.5	25835.1	22181.6
SPO3459	Flagellin	67239.5	64674	51290.9
SPO3460	FlgN		23149.2
SPO3462	Flagellar hook-length control protein
SPO3463	Basal-body rod modification protein FlgD	83432.3	69613.4	83573.3
SPO3464	Aminoglycoside phosphotransferase domain-containing protein	866137	849438	841377
SPO3465	FAD dependent oxidoreductase domain-containing protein	674605	631036	658534
SPO3466	"Putrescine ABC transporter, permease protein"	74292.8	63827.4	86959.6
SPO3467	"Putrescine ABC transporter, permease protein"	399975	387852	376915
SPO3468	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	3.72E+06	3.56E+06	3.63E+06
SPO3469	Putrescine-binding periplasmic protein	6.22E+06	6.31E+06	6.77E+06
SPO3470	"Transcriptional regulator, GntR family"	2.62E+06	2.67E+06	2.57E+06
SPO3471	"Aminotransferase, class III"	4.90E+06	5.04E+06	5.20E+06
SPO3472	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	2.05E+07	2.03E+07	2.14E+07
SPO3473	"Polyamine ABC trasnporter, periplasmic polyamine-binding protein"	3.86E+07	3.83E+07	4.19E+07
SPO3474	"Polyamine ABC transporter, permease protein"	9.69E+06	8.82E+06	1.02E+07
SPO3475	"Polyamine ABC transporter, permease protein"	2.76E+06	2.89E+06	3.16E+06
SPO3476	Lipoprotein	278616	283956	252270
SPO3477	DUF599 domain-containing protein	430834	391681	391209
SPO3478	"Glycolate oxidase, GlcD subunit"	1.03E+07	1.01E+07	1.13E+07
SPO3479	"Glycolate oxidase, GlcE subunit"	2.64E+06	2.78E+06	2.86E+06
SPO3480	Glycolate oxidase iron-sulfur subunit (EC 1.1.99.14)	2.16E+06	2.24E+06	2.38E+06
SPO3481	"Membrane protein, putative"	1.83E+06	1.92E+06	1.85E+06
SPO3482	Trypsin domain protein	92310.4	95399.6	106844
SPO3483	Serine protease (EC 3.4.21.-)	270225	323894	322350
SPO3484	"Heat shock protein, Hsp20 family"	983187	984752	845342
SPO3485	YdhG-like domain-containing protein	558948	525339	488412
SPO3486	Thioredoxin-like fold domain-containing protein	443772	448376	449307
SPO3487	Transcriptional regulator	241546	244760	255423
SPO3488	Peptidoglycan binding domain protein	4.06E+06	4.20E+06	4.40E+06
SPO3489	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	9.74E+06	9.70E+06	9.98E+06
SPO3490	"Transcriptional regulator, LysR family"	312200	305823	299345
SPO3491	"Methyltransferase, UbiE/COQ5 family"	1.75E+06	1.83E+06	1.89E+06
SPO3492	YtoQ family protein	7.32E+06	6.61E+06	7.02E+06
SPO3494	Glutathione S-transferase family protein	4.20E+06	3.92E+06	4.50E+06
SPO3495	Large-conductance mechanosensitive channel	579663	519923	558889
SPO3496	Small-conductance mechanosensitive channel	1.50E+07	1.48E+07	1.50E+07
SPO3498a	Unknown	1.18E+07	1.22E+07	1.33E+07
SPO3499	Elongation factor G (EF-G)	8.09E+07	8.39E+07	8.22E+07
SPO3500	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	1.06E+08	1.17E+08	1.17E+08
SPO3501	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	1.34E+08	1.34E+08	1.36E+08
SPO3502	Rhamnosyl transferase	5.86E+06	5.36E+06	5.30E+06
SPO3503	Rhamnosyl transferase	2.87E+06	2.87E+06	2.85E+06
SPO3505	"Membrane protein, putative"	242182	246564	240469
SPO3506	"DNA-binding protein, putative"	198147	149849	155581
SPO3507	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	3.89E+07	3.92E+07	3.95E+07
SPO3508	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	3.31E+07	3.46E+07	3.50E+07
SPO3509	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	1.90E+08	1.74E+08	2.07E+08
SPO3510	Large ribosomal subunit protein uL10 (50S ribosomal protein L10)	2.50E+07	2.70E+07	2.64E+07
SPO3511	"Glycosyl transferase, group 2 family protein"	1.56E+06	1.51E+06	1.52E+06
SPO3512	Glycosyltransferase	1.64E+06	1.56E+06	1.59E+06
SPO3513	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)	8.00E+07	9.24E+07	9.43E+07
SPO3514	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)	4.64E+07	5.29E+07	5.30E+07
SPO3516	Transcription termination/antitermination protein NusG	2.48E+07	2.71E+07	2.56E+07
SPO3517	Protein translocase subunit SecE	2.27E+06	2.50E+06	1.45E+06
SPO3518	Cupin type-2 domain-containing protein	1.45E+06	1.48E+06	1.52E+06
SPO3520	Copper-translocating P-type ATPase (EC 3.6.3.4)	1.62E+06	1.53E+06	1.20E+06
SPO3521	"FixH protein, putative"	2.18E+06	2.18E+06	1.80E+06
SPO3522	"Iron-sulfur-binding protein, RdxA/RdxB/FixG family"	2.52E+06	2.67E+06	2.56E+06
SPO3523	Cbb3-type cytochrome c oxidase subunit	6.96E+06	7.12E+06	6.60E+06
SPO3524	"Cytochrome c oxidase, cbb3-type, subunit IV (EC 1.9.3.1)"	1.05E+06	847083	738108
SPO3525	"Cytochrome c oxidase, cbb3-type, subunit II (EC 1.9.3.1)"	5.22E+06	4.37E+06	3.30E+06
SPO3526	cytochrome-c oxidase (EC 7.1.1.9)	1.17E+06	1.26E+06	1.10E+06
SPO3527	Universal stress protein family protein	1.51E+07	1.61E+07	1.34E+07
SPO3529	Serine hydroxymethyltransferase (EC 2.1.2.1)	1.13E+06	1.07E+06	1.00E+06
SPO3530	"Transcriptional regulator, LysR family"	655867	571386	641643
SPO3531	Transcriptional activator protein FnrL	5.90E+06	5.43E+06	5.20E+06
SPO3532	Coproporphyrinogen-III oxidase (EC 1.3.98.3)	2.99E+06	2.74E+06	2.31E+06
SPO3533	Elongation factor G	2.37E+06	2.40E+06	2.21E+06
SPO3534	"Oligopeptide/dipeptide uptake family ABC transporter, ATP-binding protein"	2.87E+06	2.76E+06	2.85E+06
SPO3535	"Oligopeptide/dipeptide uptake family ABC transporter, permease protein"	3.23E+06	3.01E+06	3.48E+06
SPO3536	"Oligopeptide/dipeptide uptake family ABC transporter, permease protein"	1.22E+06	1.07E+06	1.18E+06
SPO3537	"Oligopeptide/dipeptide uptake family ABC transporter, periplasmic substrate-binding protein"	5.02E+06	5.35E+06	5.44E+06
SPO3538	Cytochrome c552	5.35E+06	4.84E+06	5.27E+06
SPO3539	prephenate dehydratase (EC 4.2.1.51)	4.69E+06	4.63E+06	4.58E+06
SPO3540	DNA polymerase III subunits gamma and tau	5.76E+06	7.33E+06	6.78E+06
SPO3541	NAD(+) diphosphatase (EC 3.6.1.22)	3.13E+06	3.18E+06	3.19E+06
SPO3542	"2`,3`-cyclic-nucleotide 2`-phosphodiesterase, putative"	1.92E+06	1.83E+06	1.72E+06
SPO3543	Uncharacterized protein	44989.3		43373.6
SPO3544	AB hydrolase-1 domain-containing protein	179704	152322	118752
SPO3545	"Transcriptional regulator, TetR family"	639841	660850	811813
SPO3546	"Zinc metallopeptidase, putative"	1.83E+06	1.89E+06	1.87E+06
SPO3547	Uncharacterized protein	32555.6	20348	22150.5
SPO3548	protein-tyrosine-phosphatase (EC 3.1.3.48)	1.95E+06	2.33E+06	2.12E+06
SPO3550	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	5.15E+06	4.90E+06	4.96E+06
SPO3551	"Acetyltransferase, GNAT family"	1.02E+06	904984	985779
SPO3552	"Oxidoreductase, FAD-binding protein"	1.12E+06	1.10E+06	1.16E+06
SPO3553	MnmC-like methyltransferase domain-containing protein	967096	994058	1.01E+06
SPO3554	"Membrane protein, putative"	294238	269481	327760
SPO3555	"Transglycosylase, Slt family"	3.09E+06	3.22E+06	3.23E+06
SPO3556	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	9.85E+06	1.02E+07	1.03E+07
SPO3557	Sulfite dehydrogenase subunit SoeC transmembrane sulfate transporter	263862	200880	229559
SPO3558	Sulfite dehydrogenase iron-sulfur cluster-binding subunit SoeB cytosolic protein	218063	207720	195970
SPO3559	Sulfite dehydrogenase molybdopterin cofacter-binding subunit SoeA cytosolic protein	645921	581714	628729
SPO3560	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	20028.6	10253.6	14830.9
SPO3561	sulfoacetaldehyde acetyltransferase (EC 2.3.3.15)	1.05E+06	1.03E+06	1.02E+06
SPO3562	Taurine transcriptional regulator	470214	447447	446203
SPO3563	"Transcriptional regulator, ArsR family"	291705	273274	277494
SPO3564	"Permease, putative"	27758.9		31473.6
SPO3565	NusG domain-containing protein	2.56E+06	2.41E+06	2.22E+06
SPO3566	Cytoplasmic protein	1.99E+07	2.07E+07	2.02E+07
SPO3567	Ribonuclease T2 family protein	2.20E+06	2.19E+06	2.16E+06
SPO3568	Uncharacterized protein	6.34E+06	5.90E+06	5.28E+06
SPO3569	Recombination protein RecR	683003	777742	622460
SPO3570	Nucleoid-associated protein SPO3570	1.30E+07	1.21E+07	1.40E+07
SPO3571	"Transcriptional regulator, AraC family"	2.10E+06	1.83E+06	1.85E+06
SPO3572	Isochorismatase family protein	93804.1	61551.8	42077.8
SPO3573	NADPH-dependent FMN reductase domain protein	1.09E+07	1.11E+07	1.21E+07
SPO3574	Short chain dehydrogenase	1.12E+06	1.32E+06	1.24E+06
SPO3575	"Transcriptional regulator, MerR family"	123235	146191	137994
SPO3576	OmpA domain protein	3.10E+07	3.35E+07	3.54E+07
SPO3577	Transcriptional regulator	174617	171807	182790
SPO3578	ADA regulatory protein	1.40E+06	1.35E+06	1.34E+06
SPO3579	"Transcriptional regulator, MarR family"	468278	457402	420952
SPO3580	Isochorismatase family protein	1.22E+06	1.30E+06	1.35E+06
SPO3581	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	4.98E+06	5.41E+06	4.97E+06
SPO3582	"Kinase, pfkB family"	8.05E+06	8.86E+06	9.11E+06
SPO3583	Transcriptional regulator PecS	504431	444131	432816
SPO3584	"Membrane protein, drug/metabolite transporter (DMT) family"	163610	196746	225425
SPO3585	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	3.84E+06	3.80E+06	3.93E+06
SPO3586	"2,4-dienoyl-CoA reductase (EC 1.3.1.34)"	7.46E+06	7.11E+06	6.86E+06
SPO3587	Uncharacterized protein	5.13E+06	5.77E+06	5.87E+06
SPO3590	DUF4399 domain-containing protein	71116.2
SPO3591	Auxin efflux carrier family protein	89090	95088	87914.4
SPO3592	"Transcriptional regulator, LysR family"	2.32E+06	2.20E+06	2.31E+06
SPO3593	Sulfatase family protein	4.59E+06	4.50E+06	4.38E+06
SPO3594	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	8.19E+06	7.84E+06	7.98E+06
SPO3595	"Transcriptional regulator, AraC family"	91962.2	127343	147906
SPO3596	Pyridoxamine 5'-phosphate oxidase family protein	772288	896593	861368
SPO3597	Tryptophan 2-monooxygenase (EC 1.13.12.3)	603075	618996	638884
SPO3598	Large ribosomal subunit protein bL20 (50S ribosomal protein L20)	6.64E+07	6.64E+07	6.44E+07
SPO3599	Large ribosomal subunit protein bL35 (50S ribosomal protein L35)	8.55E+07	1.02E+08	9.32E+07
SPO3600	Pyruvate kinase (EC 2.7.1.40)	2.61E+07	2.58E+07	2.58E+07
SPO3601	N-formylglutamate amidohydrolase family protein	2.99E+06	2.89E+06	2.76E+06
SPO3602	SMc04008-like domain-containing protein	1.31E+06	1.10E+06	1.23E+06
SPO3603	Medium/long-chain acyl-CoA thioesterase YigI (EC 3.1.2.20)	873670	846833	862554
SPO3604	Probable branched-chain-amino-acid aminotransferase	2.16E+07	2.21E+07	2.32E+07
SPO3605	Uncharacterized protein	1.13E+06	1.15E+06	1.13E+06
SPO3606	Dipeptide epimerase (EC 5.1.1.-)	5.43E+06	5.41E+06	5.36E+06
SPO3607	EBNA-1 nuclear protein	886620	809272	866477
SPO3608	Malyl-CoA lyase (EC 4.1.3.24)	9.44E+06	9.81E+06	1.06E+07
SPO3609	"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase (EC 1.1.1.-)"	913563	873612	867827
SPO3610	Arylsulfatase	1.70E+06	1.69E+06	1.61E+06
SPO3611	PA14 domain-containing protein	7.11E+06	7.22E+06	7.20E+06
SPO3612	"Transcriptional regulator, AsnC family"	652730	637720	698578
SPO3615	"Transcriptional regulator, AraC family"	3.04E+06	3.10E+06	3.11E+06
SPO3616	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	1.33E+07	1.39E+07	1.46E+07
SPO3617	"Peptidoglycan-binding protein, putative"	5.14E+07	5.14E+07	5.23E+07
SPO3618	"Sulfonate ABC transporter, permease protein, putative"	352466	262855	339678
SPO3619	"Sulfonate ABC transporter, ATP-binding protein"	1.06E+06	968602	1.00E+06
SPO3620	"Sulfonate ABC transporter, periplasmic sulfonate-binding protein"	7.35E+06	7.70E+06	8.65E+06
SPO3621	"Transcriptional regulator, GntR family"	1.61E+06	1.58E+06	1.51E+06
SPO3622	YgjP-like metallopeptidase domain-containing protein	493858	442321	457813
SPO3623	TIGR02300 family protein	1.93E+07	2.02E+07	2.06E+07
SPO3625	Cold shock protein CspA	4.53E+07	4.48E+07	4.11E+07
SPO3626	Glutamate--cysteine ligase (EC 6.3.2.2)	7.09E+06	7.06E+06	7.08E+06
SPO3627	Uncharacterized protein	1.94E+06	1.65E+06	1.57E+06
SPO3628	"Acetyltransferase, GNAT family"	2.05E+06	2.04E+06	2.09E+06
SPO3629	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	4.00E+06	4.18E+06	4.10E+06
SPO3630	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase)	708994	523070	521387
SPO3631	OmpA domain protein	4.98E+06	4.94E+06	5.23E+06
SPO3632	Uncharacterized protein	1.94E+06	1.43E+06	1.75E+06
SPO3633	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	3.78E+06	3.16E+06	3.18E+06
SPO3634	"Molybdopterin converting factor, subunit 1"	1.04E+06	1.19E+06	1.27E+06
SPO3635	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	762855	807483	770344
SPO3636	"Beta-lactamase, putative"	933108	915832	946153
SPO3637	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	1.00E+06	1.01E+06	1.03E+06
SPO3638	"Oxidoreductase, short chain dehydrogenase/reductase family"	1.71E+06	1.81E+06	1.69E+06
SPO3639	K+-dependent Na+/Ca+ exchanger related-protein	736056	801950	814955
SPO3640	"Peptidase, family S49"	4.17E+06	4.31E+06	4.26E+06
SPO3642	"ABC transporter, ATP-binding protein"	2.22E+06	2.26E+06	2.42E+06
SPO3644	Serine aminopeptidase S33 domain-containing protein	966240	922643	975842
SPO3645	"Transcriptional regulator, putative"	1.83E+06	1.77E+06	1.66E+06
SPO3646	Enoyl-CoA hydratase/isomerase family protein	259991	253662	232085
SPO3647	CAIB/BAIF family protein	1.90E+06	1.77E+06	1.62E+06
SPO3648	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	4.99E+06	4.70E+06	4.70E+06
SPO3649	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	3.64E+06	3.77E+06	3.91E+06
SPO3650	Adenylate/guanylate cyclase	1.03E+06	1.01E+06	981888
SPO3651	Fatty acid desaturase family protein	846448	634278	618316
SPO3652	DUF2846 domain-containing protein	5.15E+06	5.99E+06	5.77E+06
SPO3653	coproporphyrinogen oxidase (EC 1.3.3.3)	8.83E+06	8.78E+06	8.73E+06
SPO3654	"7-alpha-hydroxysteroid dehydrogenase, putative"	5.90E+06	6.26E+06	6.65E+06
SPO3655	"Methyltransferase, putative"	2.15E+06	2.12E+06	2.10E+06
SPO3656	ATP-dependent Clp protease adapter protein ClpS	1.32E+06	1.14E+06	976927
SPO3657	"Hydrolase, haloacid delahogenase-like family"	895980	850016	832617
SPO3658	D-alanyl-D-alanine carboxypeptidase family protein	2.65E+06	2.66E+06	2.90E+06
SPO3659	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)	2.89E+06	2.98E+06	3.03E+06
SPO3660	Urea amidolyase-like protein	812932	750650	748430
SPO3661	Allophanate hydrolase family protein	853814	779051	794369
SPO3662	"Membrane protein, putative"	136260	84825.1	124109
SPO3663	TRAP transporter large permease protein	756459	707970	734313
SPO3664	TRAP transporter small permease protein	751694	748450	778223
SPO3665	"Bacterial extracellular solute-binding protein, family 7"	7.80E+06	7.84E+06	8.01E+06
SPO3666	"Oxidoreductase, FAD-binding protein"	754033	684696	722600
SPO3667	Muconate cycloisomerase I (EC 5.5.1.1)	109349	106065	100174
SPO3668	"Transcriptional regulator, LysR family"	233124	161228	174358
SPO3671	Muticopper oxidase domain protein	4.12E+06	3.95E+06	4.06E+06
SPO3672	Uncharacterized protein	885653	715043	874788
SPO3673	Type I secretion target repeat protein	6.61E+06	6.17E+06	6.47E+06
SPO3673a	Unknown	1.03E+06	840279	878653
SPO3675	Peptidase M15A C-terminal domain-containing protein	786137	736275	732540
SPO3676	succinyl-diaminopimelate desuccinylase (EC 3.5.1.18)	229712	206826	178862
SPO3677	"Transcriptional regulator, LysR family"	175735	146914	154762
SPO3678	Rieske 2Fe-2S domain protein	318991	269172	229716
SPO3679	Major pilin protein fimA	1.45E+06	1.51E+06	1.51E+06
SPO3680	Endoribonuclease L-PSP family protein	797919	728288	713722
SPO3681	Rieske 2Fe-2S domain protein	354713	299409	305863
SPO3682	Monooxygenase	1.40E+06	1.46E+06	1.49E+06
SPO3684	"Transcriptional regulator, LacI family"	1.06E+07	1.10E+07	1.12E+07
SPO3685	Winged helix-turn-helix domain-containing protein	1.93E+06	1.78E+06	1.77E+06
SPO3686	HpcH/HpaI aldolase family protein	4.59E+06	4.49E+06	4.68E+06
SPO3687	"Decarboxylase, pyridoxal-dependent"	632462	612540	585434
SPO3688	Extradiol ring-cleavage dioxygenase family protein	764577	715327	711962
SPO3689	"Transcriptional regulator, MarR family"	5.21E+06	5.09E+06	5.02E+06
SPO3690	"Gentisate 1,2-dioxygenase (EC 1.13.11.4)"	1.11E+06	1.08E+06	1.08E+06
SPO3691	Fumarylacetoacetate hydrolase family protein	1.07E+07	9.99E+06	1.08E+07
SPO3692	"Monooxygenase, putative"	2.17E+06	2.10E+06	2.04E+06
SPO3693	"TRAP dicarboxylate transporter, DctP subunit"	2.43E+06	2.13E+06	2.29E+06
SPO3694	TRAP transporter small permease protein	96695.8	103527	132780
SPO3695	"TRAP dicarboxylate transporter, DctM subunit, putative"	617315	551819	591528
SPO3696	Feruloyl-CoA synthetase	380098	342883	380067
SPO3697	Benzoate-coenzyme A ligase (EC 6.2.1.25)	385478	354490	398931
SPO3698	"Hydrolase, putative"	543054	482884	515143
SPO3699	DUF309 domain-containing protein
SPO3700	Enoyl-CoA hydratase/isomerase family protein	1.56E+06	1.56E+06	1.55E+06
SPO3701	"Benzoyl-CoA oxygenase, B subunit"	1.57E+06	1.54E+06	1.54E+06
SPO3703	"Benzoyl-CoA oxygenase, A subunit"	987510	1.06E+06	1.04E+06
SPO3704	Shikimate kinase (SK) (EC 2.7.1.71)	816702	795620	828619
SPO3705	"Branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein"	673452	631048	804951
SPO3706	"Branched-chain amino acid ABC transporter, ATP-binding protein"	428118	420591	430583
SPO3707	"Branched-chain amino acid ABC transporter, ATP-binding protein"	323868	323216	378314
SPO3708	"Branched-chain amino acid ABC transporter, permease protein"	283724	230605	265030
SPO3709	"Branched-chain amino acid ABC transporter, permease protein"	56396.1	54829.2	59499.7
SPO3710	Adenylate cyclase protein	888953	792115	910255
SPO3711	"Membrane protein, putative"	195335	228325	211360
SPO3712	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	2.73E+07	2.74E+07	2.85E+07
SPO3713	DUF4139 domain-containing protein	1.51E+07	1.67E+07	1.67E+07
SPO3714	Uncharacterized protein	150267	102501	89725
SPO3715	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	1.62E+07	1.49E+07	1.44E+07
SPO3716	HPt domain-containing protein
SPO3717	Cytosol aminopeptidase family protein	7.77E+06	7.53E+06	7.81E+06
SPO3718	NLP/P60 family protein	5.06E+06	4.94E+06	4.84E+06
SPO3719	"Thiosulfate sulfurtransferase, putative"	2.22E+07	2.22E+07	2.20E+07
SPO3720	Aromatic amino acid aminotransferase (EC 2.6.1.57)	3.78E+07	3.70E+07	3.70E+07
SPO3722	Rrf2 family protein	469085	419700	432151
SPO3723	Ammonium transporter	675588	84593.1	78711.4
SPO3724	Nitrogen regulatory protein P-II	630749	566347	476318
SPO3725	"Penicillin-binding protein, 1A family"	2.70E+06	2.03E+06	2.27E+06
SPO3726	Toluene tolerance family protein	2.92E+07	3.14E+07	3.12E+07
SPO3727	"VacJ lipoprotein, putative"	1.10E+07	1.16E+07	1.35E+07
SPO3728	Type I secretion system ATPase	9.45E+06	9.73E+06	9.30E+06
SPO3729	Membrane fusion protein (MFP) family protein	1.01E+07	9.56E+06	1.00E+07
SPO3730	Endoribonuclease L-PSP family protein	6.22E+06	6.30E+06	6.85E+06
SPO3731	"Glycerophosphoryl diester phosphodiesterase, putative"	2.33E+06	2.28E+06	2.32E+06
SPO3732	N-acetyltransferase domain-containing protein	956569	929649	867313
