Accession Number	Annotation	1	2	3
SPO0268	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"	2.12E+06	1.89E+06	1.89E+06
SPO0269	Negative transcriptional regulator	766313	837039	847011
SPO0270	Glutathione S-transferase family protein	6.92E+06	6.17E+06	6.52E+06
SPO0271	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8)	3.85E+07	3.62E+07	3.77E+07
SPO0272	Cytochrome b	8.66E+06	9.00E+06	8.18E+06
SPO0273	Cytochrome c1	1.45E+07	1.43E+07	1.45E+07
SPO0274	PepSY domain-containing protein	15156
SPO0276	"Transcriptional regulator, LuxR family"	710948	638455	692977
SPO0277	MiaB-like tRNA modifying enzyme	1.49E+06	1.55E+06	1.56E+06
SPO0278	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	3.41E+06	3.11E+06	3.23E+06
SPO0281	YHS domain protein	85435.5	79459.5	88708.7
SPO0282	Peptide methionine sulfoxide reductase	503071	461891	478891
SPO0283	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	3.09E+06	3.34E+06	3.07E+06
SPO0284	"Dihydroorotase, multifunctional complex type (EC 3.5.2.3)"	5.40E+06	5.47E+06	5.52E+06
SPO0285	Lipoprotein	3.41E+06	3.17E+06	3.41E+06
SPO0286	Aspartate carbamoyltransferase catalytic subunit	2.64E+06	2.47E+06	2.52E+06
SPO0287	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	2.82E+06	2.75E+06	2.53E+06
SPO0288	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	2.14E+06	2.00E+06	2.04E+06
SPO0289	Ser/Thr protein phosphatase family protein	2.74E+06	2.90E+06	3.01E+06
SPO0290	Transmembrane amino acid efflux protein	35152.3	43455.7	37265.6
SPO0291	Molybdenum cofactor biosynthesis protein B	6.45E+06	6.54E+06	6.49E+06
SPO0292	"Efflux transporter, RND family, MFP subunit"	1.30E+06	1.18E+06	1.27E+06
SPO0293	"Transporter, AcrB/AcrD/AcrF family"	518515	502505	524090
SPO0294	"Hydrolase, NUDIX family"	1.06E+06	893520	952385
SPO0295	Thiol:disulfide interchange protein DsbD N-terminal domain-containing protein	1.16E+06	1.27E+06	1.34E+06
SPO0296	UPF0301 protein SPO0296	5.40E+06	5.45E+06	5.43E+06
SPO0297	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	3.47E+06	3.77E+06	3.71E+06
SPO0298	Acyl-CoA dehydrogenase family protein	4.06E+06	3.66E+06	3.55E+06
SPO0299	Metallo-beta-lactamase family protein	1.76E+06	1.70E+06	1.36E+06
SPO0300	Uncharacterized protein	5.74E+06	5.56E+06	5.52E+06
SPO0301	Glycerophosphoryl diester phosphodiesterase family protein	751043	706230	744023
SPO0302	Phospholipase A2	536753	566436	503785
SPO0303	"Cytochrome c oxidase, subunit IV domain protein"	133883	110640	196190
SPO0304	"Lipoprotein, putative"	8.67E+06	9.41E+06	9.18E+06
SPO0305	AzlC family protein	498687	415731	513616
SPO0306	Sulfur carrier protein FdhD	2.31E+06	2.35E+06	2.46E+06
SPO0307	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase)	1.84E+06	1.81E+06	1.76E+06
SPO0308	Molybdopterin-guanine dinucleotide biosynthesis protein B	2.71E+06	2.75E+06	2.88E+06
SPO0309	Molybdopterin guanine dinucleotide synthesis	814581	919853	809659
